id,restaurant_id,name,allergens
1,1,Bulgogi Burger,"Beef, Egg, Milk, Pork, Wheat"
2,1,Cheese stick,"Milk, Wheat"
3,1,dip Cheese Burger,"Chicken, Egg, Milk, Pork, Wheat"
4,1,Dip Cheese Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
5,1,Edward Lee Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
6,1,Edward Rich Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
7,1,Fire Thigh Burger,"Chicken, Egg, Milk, Wheat"
8,1,Fire Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
9,1,Hot Cheese Chicken,"Chicken, Egg, Milk, Pork, Wheat"
10,1,Hot wing Nugget,"Chicken, Egg, Milk, Wheat"
11,1,Incredible Burger,"Chicken, Egg, Milk, Pork, Wheat"
12,1,jalape?o Burger,"Chicken, Egg, Milk, Pork, Wheat"
13,1,Shrimp Bulgogi Burger,"Beef, Egg, Milk, Pork, Shrimp, Wheat"
14,1,Super Thigh Burger,"Chicken, Egg, Milk, Wheat"
15,1,Sweet potato Cheese Ball,"Milk, Wheat"
16,1,Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
17,1,Triple Dip Chicken Burger,"Chicken, Egg, Milk, Wheat"
18,1,White Galic Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
19,2,Cheese zinger Burger,"Chicken, Egg, Milk, Soybean, Wheat"
20,2,Chicken Nugget,"Beef, Chicken, Egg, Milk, Soybean, Wheat"
21,2,Classic Chicken Burger,"Chicken, Egg, Milk, Soybean, Tomato, Wheat"
22,2,Eggtart,"Beef, Egg, Milk, Soybean, Wheat"
23,2,Hot Crispy Chicken,"Chicken, Soybean, Wheat"
24,2,Hot Crispy Drumstick,"Chicken, Soybean, Wheat"
25,2,Hot wing,"Chicken, Soybean, Wheat"
26,2,Original Chicken,"Chicken, Egg, Milk, Soybean, Wheat"
27,2,Soy Sauce Hot Chicken,"Beef, Chicken, Soybean, Tomato, Wheat"
28,2,Soy Sauce Hot Drumstick,"Beef, Chicken, Soybean, Tomato, Wheat"
29,2,Truffle Cheese Fries,"Milk, Soybean, Wheat"
30,2,Truffle Hot Crispy,"Chicken, Milk, Soybean, Wheat"
31,2,Truffle Hot Crispy Drumstick,"Chicken, Milk, Soybean, Wheat"
32,2,Twister,"Chicken, Egg, Soybean, Tomato, Wheat"
33,2,Zinger Burger,"Chicken, Egg, Milk, Soybean, Wheat"
34,2,Zinger-tower Burger,"Chicken, Egg, Milk, Soybean, Tomato, Wheat"
35,3,Double Chickenburger,"Egg, Wheat, Soybean, Milk, Chicken, Peanut, ShellFish"
36,3,Double Classic Cheese burger,"Egg, Wheat, Soybean, Milk, Beef"
37,3,Double Hanwoo Bulgogi burger,"Egg, Wheat, Soybean, Milk, Beef, Tomato"
38,3,Double Miracleburger,"Wheat, Soybean, Tomato"
39,3,Double Teriyakiburger,"Egg, Wheat, Soybean, Milk, Beef, Chicken, ShellFish"
40,3,Double x2 burger,"Egg, Wheat, Soybean, Milk, Beef, Tomato"
41,3,Long Cheese Stick,"Egg, Wheat, Soybean, Milk"
42,3,Miracleburger,"Wheat, Soybean, Tomato"
43,3,Mocharella in the burger Bacon,"Egg, Wheat, Soybean, Milk, Beef, Pork"
44,3,Ria Bulgogi,"Wheat, Soybean, Egg, Milk, Beef, Tomato, Pork, Chicken"
45,3,Ria Bulgogi Bacon,"Egg, Wheat, Soybean, Milk, Beef, Chicken, Tomato, Pork"
46,3,Ria Shrimp,"Egg, Wheat, Soybean, Milk, Tomato, Shrimp"
47,3,Ria Shrimp Bacon,"Egg, Wheat, Soybean, Milk, Tomato, Pork, Shrimp"
48,3,Squid Alive burger - black pepper,"Egg, Wheat, Soybean, Milk, Beef, Shrimp, Squid"
49,3,Squid Alive burger - hot,"Egg, Wheat, Soybean, Milk, Beef, Chicken, Tomato, Shrimp, Squid"
50,3,Teriyakiburger,"Egg, Wheat, Soybean, Milk, Beef, Chicken, ShellFish"
51,4,Caff? Mocha,"Milk, Soybean"
52,4,Caff? Latte,Milk
53,4,Cappuccino,Milk
54,4,Short Latte,Milk
56,4,Sinchon Coffee,"Milk, Egg, Soybean"
57,4,Einsp?nner,"Milk, Wheat "
58,4,Decaf Oat White Latte,Milk
59,4,Peach Iced Tea,"Peach, Sulfites "
60,4,Lemon Iced Tea,Sulfites
61,4,Misugaru Latte,"Milk, Soybean, Wheat"
62,4,Chocolate Latte,"Milk, Soybean"
63,5,Wow Tteokbokki,"Wheat, Soybean, Milk, Fish"
64,5,Cheese Garlic Fries,"Milk, Wheat, Soybean"
65,5,Tuna Rice Ball,"Fish, Egg, Soybean, Sesame"
66,5,Triple Cheese,Milk
67,5,Jjolmyeon,"Wheat, Soybean, Egg, Sesame"
68,5,Udon,"Wheat, Soybean, Fish"
69,5,Pasta,"Wheat, Milk"
70,5,Gim-mari,"Wheat, Soybean, Fish"
71,6,Blueberry Plum Juice,Peach
72,6,Blueberry Yogurt Smoothie,Milk
73,6,Peanut Butter Chocolate Frappe,"Milk, Soybean, Peanut"
74,6,Choco-gelato Matcha Tea Latte,"Milk, Soybean"
75,6,MEGA MGC Mix Coffee Blend with Grain Powder,"Wheat, Milk, Soybean"
76,6,ZERO Sugar Peach Iced Tea,"Peach, Sulfites"
77,6,Sweet Potato Latte,"Milk, Almond"
78,6,Korean Egg Toast with Cheese,"Wheat, Soybean, Milk, Egg, Tomato"
79,6,Spicy Bibim Bread,"Tomato, Beef, Soybean, Wheat, Milk, Clam, Pork, Chiken, Egg"
80,6,Mexican Meat Chili Hot Dog,"Egg, Milk, Soybean, Wheat, Pork, Tomato, Beef"
81,7,Ppalbong Tteokbokki,"Pork, Wheat, Soybean, Sesame, Milk, Egg"
82,7,Ppalbong Pork Cutlet,"Milk, Pork, Wheat, Soybean"
83,7,Burned Pork Rice,"Pork, Egg"
84,7,Salad Noodle,"Pork, Wheat, Sesame, Soybean"
85,8,Army Stew (Budae Jjigae),"Pork, Soybean, Milk, Wheat, Gluten"
86,8,Kimchi Cheese Rice,"Milk, Soybean, Wheat"
87,8,Pork Cutlet,"Pork, Wheat, Egg, Soybean"
88,8,Hamburger Steak,"Beef, Pork, Egg, Wheat"
89,8,Cheese Fish Roe Rice,"Fish, Milk, Wheat"
90,8,Cold Noodles,"Wheat, Egg, Soybean"
91,8,Spicy Chewy Noodles with Soft Tofu,"Wheat, Egg, Soybean, Sesame"
92,9,Tofu and Perilla Cup Rice,"Soybean, Wheat, Sesame"
93,9,Spicy Pork Cup Rice,"Pork, Soybean, Wheat, Sesame"
94,9,Chicken Breast Cup Rice,"Chicken, Soybean, Wheat, Sesame"
95,9,Salmon Cup Rice,"Fish, Soybean, Wheat, Sesame"
96,9,Fermented Kimchi and Tuna Cup Rice,"Fish, Soybean, Wheat, Sesame"
