menu_name,allergies
Cheese zinger Burger,"Chicken, Egg, Milk, Soybean, Wheat"
Chicken Nugget,"Beef, Chicken, Egg, Milk, Soybean, Wheat"
Classic Chicken Burger,"Chicken, Egg, Milk, Soybean, Tomato, Wheat"
Eggtart,"Beef, Egg, Milk, Soybean, Wheat"
Hot Crispy Chicken,"Chicken, Soybean, Wheat"
Hot Crispy Drumstick,"Chicken, Soybean, Wheat"
Hot wing,"Chicken, Soybean, Wheat"
Original Chicken,"Chicken, Egg, Milk, Soybean, Wheat"
Soy Sauce Hot Chicken,"Beef, Chicken, Soybean, Tomato, Wheat"
Soy Sauce Hot Drumstick,"Beef, Chicken, Soybean, Tomato, Wheat"
Truffle Cheese Fries,"Milk, Soybean, Wheat"
Truffle Hot Crispy,"Chicken, Milk, Soybean, Wheat"
Truffle Hot Crispy Drumstick,"Chicken, Milk, Soybean, Wheat"
Twister,"Chicken, Egg, Soybean, Tomato, Wheat"
Zinger Burger,"Chicken, Egg, Milk, Soybean, Wheat"
Zinger-tower Burger,"Chicken, Egg, Milk, Soybean, Tomato, Wheat"
