menu_name,allergies
Bulgogi Burger,"Beef, Egg, Milk, Pork, Wheat"
Cheese stick,"Milk, Wheat"
dip Cheese Burger,"Chicken, Egg, Milk, Pork, Wheat"
Dip Cheese Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
Edward Lee Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
Edward Rich Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
Fire Thigh Burger,"Chicken, Egg, Milk, Wheat"
Fire Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
Hot Cheese Chicken,"Chicken, Egg, Milk, Pork, Wheat"
Hot wing Nugget,"Chicken, Egg, Milk, Wheat"
Incredible Burger,"Chicken, Egg, Milk, Pork, Wheat"
jalape?o Burger,"Chicken, Egg, Milk, Pork, Wheat"
Shrimp Bulgogi Burger,"Beef, Egg, Milk, Pork, Shrimp, Wheat"
Super Thigh Burger,"Chicken, Egg, Milk, Wheat"
Sweet potato Cheese Ball,"Milk, Wheat"
Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
Triple Dip Chicken Burger,"Chicken, Egg, Milk, Wheat"
White Galic Thigh Burger,"Chicken, Egg, Milk, Pork, Wheat"
